,COMPANY,BUSINESS_IN_FORCE_NEW_NUMBER_OF_POLICIES,BUSINESS_IN_FORCE_NEW_SUM_INSURED,BUSINESS_IN_FORCE_NEW_PREMIUMS,BUSINESS_IN_FORCE_TOTAL_NUMBER_OF_POLICIES,BUSINESS_IN_FORCE_TOTAL_SUM_INSURED,BUSINESS_IN_FORCE_TOTAL_PREMIUMS,YEARS,GROSS_DIRECT_PREMIUM,INWARD_REINSURANCE,OUTWARD_REINSURANCE,NET_PREMIUM_WRITTEN,UPR_B/F,UNEXPIRED_RISK_RESERVE_(B/F),UPR_C/F,UNEXPIRED_RISK_RESERVE_(B/F).1,NET_EARNED_PREMIUM_INCOME,INCURRED_CLAIMS,NET_COMMISIONS,EXPENSE_OF_MANAGEMENT,UNDERWRITING_PROFIT/(LOSS),INVESTMENT_INCOME,PROFIT_TRANSFERRED_TO_P&L,NET_PAID_CLAIMS_AVIATION,NET_PAID_CLAIMS_ENGINEERING,NET_PAID_CLAIMS_FIRE_DOMESTIC,NET_PAID_CLAIMS_FIRE_INDUSTRIAL,NET_PAID_CLAIMS_LIABILITY,NET_PAID_CLAIMS_MARINE,NET_PAID_CLAIMS_MOTOR_PRIVATE,NET_PAID_CLAIMS_MOTOR_COMMERCIAL,NET_PAID_CLAIMS_MOTOR_COMMERCIAL_PSV,NET_PAID_CLAIMS_PERSONAL_ACCIDENT,NET_PAID_CLAIMS_THEFT,NET_PAID_CLAIMS_WORKMENS'_COMPENSATION,NET_PAID_CLAIMS_MEDICAL,NET_PAID_CLAIMS_MISCELLANEOUS,NET_PAID_CLAIMS_TOTAL,SHARE_CAPITAL,SHARE_PREMIUM,REVALUATION_RESERVES,STATUTORY_RESERVES,RETAINED_EARNINGS,OTHER_RESERVES,TOTAL_EQUITY,UNDERWRITING_PROVISIONS,ACTUARIAL_CONTRACT_LIABILITIES,LONGTERM_LIABILITIES,CURRENT_LIABILITIES,TOTAL_EQUITY_AND_LIABILITIES,LAND_AND_BUILDINGS,INVESTMENT_PROPERTY,OTHER_FIXED_ASSETS,GOVERNMENT_SECURITIES,OTHER_SECURITIES,INVESTMENT_IN_RELATED_COMPANIES,CORPORATE_BONDS,COMMERCIAL_PAPERS,DEBENTURES,ORDINARY_SHARES_QUOTED,ORDINARY_SHARES_UNQUOTED,PREFERENCE_SHARES_QUOTED,PREFERENCE_SHARES_UNQUOTED,LOANS_SECURED_&_UNSECURED,MORTGAGES,TERM_DEPOSITS,CASH_AND_CASH_BALANCES,OUTSTANDING_PREMIUMS,OTHER_RECEIVABLES,OTHER_ASSETS,INTANGIBLE_ASSETS,TOTAL_ASSETS,NET_EARNED_PREMIUM_AVIATION,NET_EARNED_PREMIUM_ENGINEERING,NET_EARNED_PREMIUM_FIRE_DOMESTIC,NET_EARNED_PREMIUM_FIRE_INDUSTRIAL,NET_EARNED_PREMIUM_LIABILITY,NET_EARNED_PREMIUM_MARINE,NET_EARNED_PREMIUM_MOTOR_PRIVATE,NET_EARNED_PREMIUM_MOTOR_COMMERCIAL,NET_EARNED_PREMIUM_MOTOR_COMMERCIAL_PSV,NET_EARNED_PREMIUM_PERSONAL_ACCIDENT,NET_EARNED_PREMIUM_THEFT,NET_EARNED_PREMIUM_WORKMENS'_COMPENSATION,NET_EARNED_PREMIUM_MEDICAL,NET_EARNED_PREMIUM_MISCELLANEOUS,NET_EARNED_PREMIUM_TOTAL,INCURRED_CLAIMS_AVIATION,INCURRED_CLAIMS_ENGINEERING,INCURRED_CLAIMS_FIRE_DOMESTIC,INCURRED_CLAIMS_FIRE_INDUSTRIAL,INCURRED_CLAIMS_LIABILITY,INCURRED_CLAIMS_MARINE,INCURRED_CLAIMS_MOTOR_PRIVATE,INCURRED_CLAIMS_MOTOR_COMMERCIAL,INCURRED_CLAIMS_MOTOR_COMMERCIAL_PSV,INCURRED_CLAIMS_PERSONAL_ACCIDENT,INCURRED_CLAIMS_THEFT,INCURRED_CLAIMS_WORKMENS'_COMPENSATION,INCURRED_CLAIMS_MEDICAL,INCURRED_CLAIMS_MISCELLANEOUS,INCURRED_CLAIMS_TOTAL,BUSINESS_IN_FORCE_NEW_SUMS_INSURED,BUSINESS_IN_FORCE_TOTAL_SUMS_INSURED,UNNAMED:_1
72,AAR INSURANCE KENYA LTD,3189,44627876000,707233256.0,13726,2.89E+11,4368037664.0,2015,4368038,0,457969,3910069,1563220,0,1834684,0,3638604,2458717,292279,664742,"222,867",187860,410727,,,,,,,,,,,,,,,,400000,600523,0,0.0,-220600,0,779923,2083398,0.0,0,252190,3115511,0,0,47991,605408,0,0,108977,0,0.0,0,0,0.0,0.0,0,0,1090143,15096,1088122,110719,0,49054,3115511,0,0,4411,0,1941,699,0,0,0,21343,809,33633,3569516,6251,3638604,0,0,-452,0,-441,-54,0,0,0,-1086,-198,-1226,2461586,589,2458717,,,
73,AFRICAN MERCHANT ASSURANCE COMPANY LTD,66180,1.53E+11,1607539326.0,242086,1.01E+12,3307211595.0,2015,3291557,15654,683353,2623859,564704,0,909325,0,2279238,1306581,148584,833251,"-9,178",186165,176987,,,,,,,,,,,,,,,,857500,0,0,0.0,561094,12502,1431096,1954713,0.0,0,251462,3637271,49797,510000,88893,368711,0,0,21843,0,0.0,17714,0,0.0,0.0,18279,0,1377416,167753,871906,4589,121373,18996,3637271,0,96012,-1067,72310,8459,-2075,678281,632539,423674,152235,13639,119005,0,86225,2279238,0,1337,-24,12631,5532,198,455317,290166,440358,54520,8710,30810,0,7025,1306581,,,
74,AIG INSURANCE COMPANY LTD,31953,9547293852,1714014979.0,61180,16758940339,3969308974.0,2015,3827049,103879,1546552,2384377,879690,0,890118,0,2373948,1480529,122727,721734,"48,958",0,48958,,,,,,,,,,,,,,,,450000,0,-70987,0.0,1262928,200000,1841941,1748368,0.0,0,584398,4174707,0,600000,75868,2424458,0,0,0,0,0.0,0,0,0.0,0.0,29023,0,956,119241,594446,0,330716,0,4174707,-1178,54378,111847,71124,298794,-5423,820731,541665,0,450810,201,30878,0,123,2373948,-2907,-26885,71867,37684,80519,9250,724913,372452,0,146987,27036,-7134,0,46747,1480529,,,
75,ALLIANZ INSURANCE COMPANY OF KENYA,0,0,0.0,0,0,0.0,2015,0,0,0,0,0,0,0,0,0,0,0,16107,"-16,107",64713,48607,,,,,,,,,,,,,,,,1000000,0,0,0.0,36369,0,1036369,0,0.0,0,23161,1059530,0,0,707,50345,0,0,0,0,0.0,0,0,0.0,0.0,0,0,874217,91968,0,0,42292,0,1059530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
76,APA INSURANCE LTD,42601,4.70E+11,5220923139.0,108199,1.59E+12,9242277835.0,2015,9242367,0,2249247,6993120,2579612,0,3204141,0,6368591,4386338,519491,1384270,"78,491",0,78491,,,,,,,,,,,,,,,,1250000,0,0,0.0,3068460,565428,4883888,8088791,0.0,0,704315,13676994,0,1160000,95236,4449241,0,573974,15313,284688,0.0,2090961,52027,0.0,0.0,67024,27578,2048194,32480,2176721,119217,173081,311258,13676994,3015,45059,51196,146931,54707,168112,1346905,1914314,0,97484,157530,659377,1486087,237874,6368591,-110,62965,27994,118151,109063,73466,1253314,1130238,0,19808,22695,362979,1181732,24043,4386338,,,
77,BRITAM GENERAL INSURANCE,64040,2.98E+11,2736793997.0,136013,1.02E+12,8120127000.0,2015,8120126,0,1095534,7024593,2764069,100884,3040464,148841,6700241,4512033,715827,2200649,"-728,268",458730,-269538,,,,,,,,,,,,,,,,2668000,0,0,0.0,-175124,0,2492876,6163832,0.0,0,634214,9290923,22375,0,177004,4511434,0,215588,517886,0,0.0,515482,20594,0.0,0.0,0,0,1088429,321882,335216,789520,203435,572077,9290923,0,69740,96671,185909,35690,109698,1462854,1885146,0,459875,173373,187792,1515702,517789,6700241,0,7358,22747,173722,9358,81646,1443013,1044097,0,87082,45524,124098,1025754,447633,4512033,,,
78,CANNON ASSURANCE LTD,6839,61922468635,572968420.0,29373,1.70E+11,1149117008.0,2015,1123821,25296,275139,873978,380832,0,348114,58665,848030,509164,98569,366676,"-126,379",0,-126379,,,,,,,,,,,,,,,,300000,0,319102,0.0,159355,-7685,770772,1291989,0.0,0,266019,2328780,102500,266000,28003,360480,0,30000,32474,0,0.0,498308,303423,0.0,0.0,11077,34489,60636,30196,290651,181783,35414,63348,2328780,0,3117,10386,19599,7978,16650,442283,322248,-130326,22014,69272,60523,0,4285,848030,0,24744,11067,20547,-2430,22846,195946,125011,0,11974,13471,86137,0,-149,509164,,,
79,CIC GENERAL INSURANCE LTD,51043,3.02E+11,3274777825.0,150327,8.23E+12,7921703265.0,2015,7863424,58280,1225892,6695811,4051656,0,2827370,0,7920097,5384565,618747,1795390,"121,395",695364,816759,,,,,,,,,,,,,,,,1700000,0,0,0.0,2561577,-77887,4183690,6085489,0.0,0,528874,10798053,220000,1440000,324415,1272494,315165,0,0,180631,0.0,440770,19125,0.0,0.0,364811,0,2243630,348440,2815871,232909,130811,448981,10798053,0,67285,95860,263038,80953,104689,1775314,2466869,0,169273,384128,215457,2177984,119246,7920097,0,66981,34810,73918,43027,2663,1550040,1277891,0,42430,64836,60331,2127750,39888,5384565,,,
80,COPORATE INSURANCE COMPANY,2460,24032190405,152929162.0,11755,87615191407,385411499.0,2015,383373,2038,74706,310705,155536,0,115724,0,350517,79233,34025,163710,"73,548",146848,220396,,,,,,,,,,,,,,,,400000,0,0,0.0,504342,40000,944342,280326,0.0,0,190070,1414738,0,780000,4336,169900,0,0,0,0,0.0,1628,1524,0.0,0.0,2000,0,167805,0,249812,8570,21883,7279,1414738,0,9432,1640,13004,1221,243,109334,107085,0,12019,72230,23840,0,471,350517,5280,4177,78,3181,100,46,45928,37666,0,-28317,6501,3014,0,1579,79233,,,
81,DIRECTLINE ASSURANCE,15196,3955890000,1175216030.0,36093,3955890000,1324362403.0,2015,2770706,0,54821,2715885,660396,0,791135,0,2585145,1749444,254188,874044,"-292,531",0,-292531,,,,,,,,,,,,,,,,300000,0,-36517,0.0,586047,0,849530,3744262,0.0,450000,94176,5137968,0,1185400,103035,1010633,0,0,0,0,0.0,226532,0,0.0,0.0,16466,0,1437365,660433,0,0,395963,102142,5137968,0,0,0,0,0,0,21725,6887,2556533,0,0,0,0,0,2585145,0,0,0,0,0,0,9832,1382,1738231,0,0,0,0,0,1749444,,,
82,FIDELITY SHIELD INSURANCE COMPANY LTD,9457,2.79E+11,296119895.0,24397,1.25E+12,1822722679.0,2015,1793796,28926,457492,1365231,422930,0,493386,0,1294775,898730,110927,377568,"-92,450",0,-92450,,,,,,,,,,,,,,,,450000,0,97920,0.0,550963,0,1098883,1357897,0.0,288310,142864,2887954,266805,1275795,44603,233628,0,0,0,0,0.0,110110,0,0.0,0.0,8465,25462,181873,55667,548222,0,92224,45101,2887954,8,9048,19949,73930,7437,27647,394571,503409,14357,9306,29492,201131,0,4490,1294775,0,4981,12883,114751,-18772,32514,341524,166830,127492,377,24605,100145,0,-8600,898730,,,
83,FIRST ASSURANCE COMPANY LTD,7237,2.10E+11,799441786.0,23267,2.70E+12,2023767664.0,2015,3709316,87969,1444518,2352766,1006451,0,918772,0,2440445,1699600,140011,575339,"25,496",0,25496,,,,,,,,,,,,,,,,850000,0,137417,0.0,1351946,0,2339363,2249619,0.0,0,552382,5141363,186000,1325000,21298,794294,0,52929,66481,0,0.0,49288,0,0.0,0.0,22306,0,1529783,52426,822361,13040,145074,61084,5141363,-533,47161,33722,96871,46850,33562,536885,680078,0,65897,48118,184432,605431,61970,2440445,222,34470,14819,26255,13532,46734,487814,373131,0,16763,50590,34685,577665,22919,1699600,,,
84,GA LIFE ASSURANCE LIMITED,22187,5.94E+11,2226021557.0,44623,1.02E+12,4324695310.0,2015,4261542,63154,2063886,2260810,888141,0,994752,0,2154199,1282549,33618,666710,"171,321",407766,579087,,,,,,,,,,,,,,,,450000,0,829766,0.0,1044092,205972,2529829,4091544,0.0,0,1265652,7887026,1161000,1380843,39579,1373278,0,308827,291502,10177,0.0,383094,184898,0.0,0.0,297446,0,808614,24859,1279782,2469,53750,286907,7887026,864,60071,54669,157831,53439,117514,293970,339347,66478,40098,269699,397844,232548,69827,2154199,82,27159,18858,54355,16502,29553,219576,258597,457,14979,157973,318089,188818,-22451,1282549,,,
85,GATEWAY INSURANCE,32707,36187267728,515289202.0,44899,55152754331,633156565.0,2015,600594,32563,127866,505290,192461,0,206775,0,490977,538326,30278,434886,"-512,514",258122,-254392,,,,,,,,,,,,,,,,350284,102759,54362,0.0,-237500,0,269905,1553311,0.0,0,218258,2041474,0,1116700,27810,207959,0,0,15000,0,0.0,885,80738,0.0,0.0,4803,0,256746,23584,116095,12665,167727,10763,2041474,0,229,674,1802,9914,732,162140,90979,103826,798,22254,8995,84277,4356,490977,0,1129,2763,487,4811,575,207425,94954,166008,-3113,4455,758,56716,1357,538326,,,
86,GEMINIA INSURANCE COMPANY LTD,4627,40542513741,415578183.0,17105,2.08E+11,1657124920.0,2015,1640207,16918,473751,1183374,469964,0,553561,0,1099777,694178,77101,329869,"-1,372",193341,191970,,,,,,,,,,,,,,,,300000,0,578992,0.0,603611,100222,1582824,1748249,0.0,887,289718,3621679,19484,973000,30674,495200,0,0,24300,0,0.0,159713,6088,0.0,0.0,26179,0,857690,81558,262035,11644,672958,1156,3621679,0,14293,28346,33450,11499,86309,257008,383118,0,15043,58495,202881,0,9337,1099777,0,9926,6885,66921,-444,37286,170679,276821,0,5124,33644,88479,-974,-168,694178,,,
87,HERITAGE INSURANCE COMPANY KENYA LTD,0,0,1664199679.0,0,0,5224669009.0,2015,5207511,17158,2166554,3058115,1044662,0,1193420,0,2909357,1337682,65916,1289766,"215,992",381277,597269,,,,,,,,,,,,,,,,500000,0,0,0.0,1586487,0,2086487,2641046,0.0,0,722716,5450249,0,145000,108413,1432563,0,88370,192349,0,0.0,161577,0,0.0,0.0,70558,274693,1062602,169448,1272086,64328,351140,57122,5450249,0,46544,92567,163803,94190,55633,600820,597585,21898,310740,93991,324739,352321,154525,2909357,154,35008,40235,46020,27823,18054,446554,300296,-6203,43996,32559,96543,232964,23679,1337682,,,
88,ICEA LION GENERAL INSURANCE COMPANY LTD,24272,4.14E+11,1555772168.0,90276,2.38E+12,5627151554.0,2015,5523082,104070,2341336,3285815,1234991,0,1360135,0,3160671,1738269,296766,994344,"131,293",0,131293,,,,,,,,,,,,,,,,1000000,0,327255,0.0,1975670,200000,3502924,4110982,0.0,539945,696310,8850161,0,2590000,162958,3013764,0,50147,303802,0,0.0,815582,20337,0.0,0.0,34847,0,374644,360,859185,116427,241430,266679,8850161,6782,52371,80190,166838,33574,122496,1004460,805150,0,151599,194365,363618,171840,7388,3160671,7106,26970,28460,148625,10017,45334,576904,442366,0,47240,61468,215311,132641,-4173,1738269,,,
89,INTRA-AFRICA INSURANCE COMPANY LTD,12360,68278682602,396635665.0,25732,1.51E+11,946375261.0,2015,940834,5542,175371,771004,294634,0,308201,6122,751315,429476,19700,264669,"37,470",21151,58621,,,,,,,,,,,,,,,,400000,0,319752,0.0,67724,7500,794976,829560,0.0,0,62695,1687231,130020,288660,22503,222450,0,0,0,0,0.0,64112,0,0.0,0.0,7846,12733,280224,36796,498591,88764,0,34531,1687231,0,23502,12645,33266,4916,65833,222115,183831,0,10061,42185,118526,0,34435,751315,0,9939,19768,38276,219,21936,106507,87162,0,25257,23517,92276,0,4618,429476,,,
90,INVESCO ASSURANCE COMPANY LTD,39615,4761138744,519395408.0,71890,6537580332,785271108.0,2015,2293994,0,52288,2241705,396968,0,387475,0,2251198,1010605,232372,995559,"12,662",0,12662,,,,,,,,,,,,,,,,1680000,0,428,0.0,-1254908,0,425520,2539305,0.0,70426,83415,3118667,76444,1178480,62646,189000,0,0,0,0,0.0,2501,0,0.0,0.0,0,0,315442,93048,430259,293557,0,477289,3118667,0,533,-2971,149,80,483,189696,115051,1946279,474,281,1123,0,21,2251198,0,-38,613,346,0,-14,100315,7707,901864,582,101,-870,0,0,1010605,,,
91,JUBILEE INSURANCE COMPANY,18608,3.02E+11,3964764174.0,45341,1.30E+12,11872402367.0,2015,11714024,436468,3403949,8746543,2706218,0,3350928,0,8101833,5215508,578611,1661008,"646,706",622960,1269667,,,,,,,,,,,,,,,,2000000,0,411780,0.0,3965149,0,6376929,6121640,0.0,0,1707749,14206318,0,0,55915,3526746,0,1587320,225992,0,0.0,1858547,579425,411.0,0.0,23398,64709,1438105,166332,3377785,840127,80390,381115,14206318,13417,24710,46442,325588,91410,106216,1437708,600319,0,458619,157068,132878,4521635,185823,8101833,-980,29930,22725,50726,79361,24409,1229169,339892,0,143998,5942,47100,3198257,44980,5215508,,,
92,KENINDIA ASSURANCE COMPANY LTD,13620,2.13E+11,892966952.0,28890,7.69E+11,2864050808.0,2015,2784466,79585,1130405,1733646,627509,0,694487,0,1666668,1141359,62217,572261,"-109,170",1254630,1145460,,,,,,,,,,,,,,,,400000,1198,-3012,0.0,1624603,289427,2312216,2328421,0.0,81251,3788152,8510040,635827,1022868,126789,1079982,0,81905,0,0,0.0,72003,122779,0.0,0.0,680,0,2574834,57259,261115,0,2472938,1061,8510040,0,20593,38944,104681,23200,190196,300053,384500,39880,16310,107998,346734,86440,7139,1666668,0,9125,51533,39558,11546,99053,184880,316285,0,8502,68465,269261,83569,-420,1141359,,,
93,KENYA ORIENT INSURANCE COMPANY,49351,64244509498,1204196263.0,85025,1.19E+11,2457379039.0,2015,2422681,34698,216892,2240487,854820,0,1093495,0,2001812,1080854,187306,663039,"70,613",63107,133721,,,,,,,,,,,,,,,,810721,0,391005,0.0,94617,50000,1346343,1301792,0.0,113093,176214,2937442,79807,429152,45424,171288,0,26685,5248,0,0.0,5081,1070273,0.0,0.0,0,0,109303,53846,560402,171996,68318,140619,2937442,0,18859,1582,24803,21866,14988,588590,1147048,140713,8104,-33710,67302,0,1668,2001812,0,2535,3053,45245,5449,6419,539495,444597,0,1327,7154,20533,0,5047,1080854,,,
94,MADISON INSURANCE COMPANY LTD,21992,1.23E+11,1114245950.0,45394,6.18E+12,2683187472.0,2015,2683187,0,171232,2511955,480219,0,1041059,0,1951114,1068366,202091,491389,"189,269",243503,432772,,,,,,,,,,,,,,,,300000,0,0,0.0,726011,0,1026011,1376517,0.0,8595,122441,2533564,0,567000,56663,227263,277,0,23388,18518,0.0,8837,244951,0.0,0.0,2626,0,337685,41826,814374,71528,3384,115244,2533564,0,28088,26827,34105,83315,2802,343425,655490,0,21173,20917,27148,481946,225880,1951114,0,-167,1662,2692,36113,2069,255809,282646,0,-6566,-974,3902,438308,52874,1068366,,,
95,MAYFAIR INSURANCE COMPANY LTD,10164,4.42E+11,1086141052.0,30445,2.11E+12,2025038621.0,2015,1958463,66576,965349,1059690,360641,0,422697,0,997633,398917,41442,318857,"238,417",0,238417,,,,,,,,,,,,,,,,525000,0,408436,0.0,719887,0,1653323,1532637,0.0,32328,431097,3649385,205661,404913,71491,429352,0,321244,129477,0,0.0,226352,511238,0.0,0.0,10063,0,763718,55003,303289,0,208250,9335,3649385,-45,23144,17639,50419,9566,52814,242399,251454,0,7281,28597,297484,0,16882,997633,40,22787,5618,8475,-438,24523,125320,2339,0,-6732,2226,211794,0,2965,398917,,,
96,OCCIDENTAL INSURANCE COMPANY LTD,1517,20749894120,87036143.0,4233,1.10E+11,546800896.0,2015,1897013,9935,610934,1296013,510132,0,560137,0,1246008,720933,124132,244576,"156,368",180471,336839,,,,,,,,,,,,,,,,693000,0,1506,0.0,278594,40194,1013294,1315569,0.0,1044,250117,2580025,0,441683,29049,650593,0,0,34864,0,0.0,111234,100825,0.0,0.0,0,0,475477,44990,624477,25825,11687,29320,2580025,0,15838,20355,49821,2025,52505,284859,469501,0,13486,48660,271080,0,17878,1246008,0,15466,31822,20040,-188,17566,212765,259762,3459,6592,27871,118304,0,7474,720933,,,
97,PACIS INSURANCE COMPANY LTD,7928,36146274944,371510445.0,23290,1.89E+11,1379039071.0,2015,1007529,0,177571,829957,355513,0,348052,0,837418,376352,93894,411756,"-44,585",83604,39019,,,,,,,,,,,,,,,,303000,17712,0,0.0,393395,-25219,688888,924616,0.0,0,128674,1742179,111825,709000,45455,145570,0,0,0,0,0.0,1603,1420,0.0,0.0,0,0,45087,4407,535917,0,88391,53503,1742179,0,5743,12096,18632,14263,1329,292269,342082,0,21533,25145,56499,46476,1350,837418,0,6210,4142,6150,2677,283,207241,90957,0,4057,5867,7145,41537,88,376352,,,
98,PHOENIX OF EAST AFRICA ASSURANCE COMPANY,1305,41715791697,249582367.0,2758,70938385160,601221427.0,2015,524461,76761,299576,301645,106246,0,121669,0,286222,159354,-27406,182724,"-28,450",0,-28450,,,,,,,,,,,,,,,,300000,0,157803,0.0,1107447,0,1565250,278927,0.0,0,170160,2014337,0,0,44261,258000,0,143807,0,0,0.0,265494,0,0.0,0.0,5645,0,656819,2056,301914,97187,189003,50152,2014337,7817,14501,2494,30286,11689,19292,85726,46267,0,5472,21198,43246,0,-1765,286222,2746,12504,1705,1299,3084,2088,51246,53542,0,3800,7638,8438,0,11263,159354,,,
99,RESOLUTION INSURANCE COMPANY,5170,1.19E+11,1073512259.0,10325,3.98E+11,2959517209.0,2015,2959517,0,1730334,1229183,478487,0,522880,34855,1149935,803414,-168729,897149,"-381,899",0,-381899,,,,,,,,,,,,,,,,330000,270000,-10997,0.0,-389968,0,199035,907822,0.0,0,366848,1473705,0,0,155623,130366,0,0,0,0,0.0,0,0,0.0,0.0,4516,0,429893,32273,298633,58738,165889,197775,1473705,0,26,79,5811,-1226,-529,2359,6132,0,16112,-3352,45797,1072345,6381,1149935,0,0,0,0,788,0,8215,0,0,1075,0,195,793141,0,803414,,,
100,SAHAM INSURANCE COMPANY LTD,3791,90138795134,440031931.0,9002,1.32E+11,1220241355.0,2015,1210663,9578,678233,542008,145284,0,217332,0,469960,277507,-21373,276962,"-63,136",90482,27345,,,,,,,,,,,,,,,,300000,0,-4184,0.0,152085,14965,462866,382819,0.0,0,202029,1047715,0,0,14445,330310,0,0,72129,0,0.0,35749,0,0.0,0.0,9992,0,380835,26404,152991,0,24859,0,1047715,0,8217,6217,5734,2565,670,132241,107065,3946,-3503,8046,38641,41289,118830,469960,0,7194,-1115,8206,-4030,-102,88584,35805,0,379,2840,10296,30931,98520,277507,,,
101,TAKAFUL INSURANCE OF AFRICA LTD,4107,55322487149,381009001.0,10766,1.01E+11,777802000.0,2015,777802,0,99900,677902,294653,0,354266,0,618289,288502,58491,344211,"-72,915",82521,9606,,,,,,,,,,,,,,,,470203,50000,0,0.0,-124206,146400,542397,679142,0.0,0,200792,1422331,0,21100,38737,85026,0,0,80869,0,0.0,0,0,0.0,0.0,0,0,262384,386688,352735,0,155950,38842,1422331,0,15147,13252,34690,3411,10753,163513,254581,0,4070,65699,42043,-478,11608,618289,0,23791,2562,9806,3215,1386,68102,115887,0,893,34439,3539,-2154,27035,288502,,,
102,TAUSI ASSURANCE COMPANY LTD,11407,77926845893,186506165.0,26502,2.70E+11,876774998.0,2015,870156,6619,318003,558772,192554,0,189478,0,561848,239750,41801,207147,"73,150",0,73150,,,,,,,,,,,,,,,,600000,0,152683,0.0,257984,-17628,993039,696924,0.0,54362,129761,1874085,275000,0,20599,800034,28893,0,0,0,0.0,169148,6522,0.0,0.0,2764,108119,256677,30565,103404,0,71297,1064,1874085,0,8040,21732,21442,6564,77791,135733,79062,0,5248,49192,143061,0,13983,561848,0,5991,16012,24441,-2314,31290,47467,31500,0,1007,10684,68708,0,4964,239750,,,
103,THE KENYAN ALLIANCE INSURANCE COMPANY LTD,11212,0,542721146.0,36384,0,1214112322.0,2015,1196728,17384,149975,1064138,532895,0,482670,0,1114362,517570,120412,423969,"52,411",228725,281136,,,,,,,,,,,,,,,,300000,0,85660,0.0,1164110,2538,1552308,1303252,0.0,55008,240139,3150706,105000,1255849,40753,174784,0,0,27496,0,0.0,25583,0,0.0,0.0,12360,0,763234,18978,535534,70232,64740,56164,3150706,0,3331,38054,27099,7667,6072,459576,436170,0,48072,42233,44619,0,1469,1114362,0,-473,6256,6656,1249,-4178,131974,299776,0,16281,11393,48272,0,364,517570,,,
104,THE MONARCH INSURANCE COMPANY LTD,39933,40835695735,407155512.0,58463,68185562973,700114584.0,2015,674633,25481,73611,626503,258531,0,253859,0,631176,240209,62286,280774,"47,906",0,47906,,,,,,,,,,,,,,,,316476,0,0,0.0,61735,62000,440211,490542,0.0,0,64681,995434,0,409025,1980,137551,0,0,0,0,0.0,0,59,0.0,0.0,0,0,5393,6994,370060,3980,26506,33885,995434,0,4928,-602,12253,3866,4726,298142,203377,0,9615,3089,21119,0,70662,631176,0,534,311,1951,1533,114,163647,66543,0,335,562,4525,0,153,240209,,,
105,TRIDENT INSURANCE COMPANY LTD,20562,2.78E+12,538593713.0,47159,3.11E+12,924012941.0,2015,951318,54350,527169,478500,435452,0,295327,0,618625,434739,-32076,269897,"-53,936",0,-53936,,,,,,,,,,,,,,,,500000,0,209311,0.0,1479454,25000,2213765,1480141,0.0,51217,266064,4011187,240660,1716399,18502,253549,17155,0,25000,0,0.0,6034,7985,0.0,0.0,1089786,0,10905,28160,468883,90259,14250,23662,4011187,682,8904,5578,12252,3473,19571,205566,164893,10993,4390,8879,119056,21070,33318,618625,1105,4592,-750,21543,1998,-2083,212319,52622,2189,-3761,1577,129895,15660,-2168,434739,,,
106,UAP INSURANCE COMPANY,32356,2.16E+12,2956692739.0,78270,4.02E+12,8285019303.0,2015,8140200,144820,1495444,6789576,2371976,0,2934218,0,6227334,4289965,472885,1757285,"-292,801",0,-292801,,,,,,,,,,,,,,,,600000,0,0,0.0,5336622,1849562,7786184,5803438,0.0,0,929537,14519159,0,3582700,84465,2715040,0,0,579190,231737,0.0,2273805,66450,0.0,0.0,993958,206927,688896,438314,1554482,339126,493341,270730,14519159,0,47263,84137,185180,76482,54882,1030810,991407,0,73381,143339,250358,3274312,15783,6227334,0,33841,20540,6918,-5617,-5977,882106,776096,0,17850,7720,119788,2428015,8683,4289965,,,
107,XPLICO INSURANCE COMPANY LTD,75861,20317724854,229471003.0,84731,21982238309,273190202.0,2015,1741137,823,62852,1679109,401991,0,617076,0,1464025,302093,135906,1040950,"-14,924",0,-14924,,,,,,,,,,,,,,,,407500,480000,19670,0.0,66056,0,973226,772460,0.0,0,303365,2049050,586500,19200,141010,80000,103000,25251,0,0,0.0,0,0,0.0,0.0,3260,0,301785,51426,501060,131887,93597,11074,2049050,8191,-91,518,3884,12053,928,835927,280578,0,8693,4847,12625,188516,107355,1464025,150,5078,3868,-9956,-468,12647,143279,95901,0,-890,311,-4670,51191,5651,302093,,,
108,AAR INSURANCE KENYA LTD,"9,443","46,748,660,357",,"45,758","1,056,366,358,720",,2016,"6,489,197",0,"992,257","5,496,940","1,834,684",0,"3,235,350",0,"4,096,275","2,793,648","348,912","859,887","93,828","221,877","315,705",0,0,608,0,0,0,0,0,0,492,0,462,"2,596,940",234,"2,598,736","400,000","600,523",0,0.0,"-2,354",0,"998,168","3,678,975",0.0,0,"483,023","5,160,166",0,0,"102,556","1,223,000",0,0,"107,595",0,0.0,0,0,0.0,0.0,0,0,"2,013,412","197,092","987,618","234,138",0,"294,755","5,160,166",0,0,"5,818",0,292,39,0,0,0,"16,375",676,"20,407","4,046,077","6,590","4,096,275",0,0,485,0,0,0,0,0,0,"2,662",0,"4,136","2,784,810","1,555","2,793,648",,,
